Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,,0,XAUUSD,12/01/2015,3:00:00 PM,12/01/2015,3:05:00 PM,1065.96,1068.53,1065.96,1068.35,1067.494,44
Success,,,0,XAUUSD,12/01/2015,3:05:00 PM,12/01/2015,3:10:00 PM,1068.28,1069.85,1068.28,1069.7,1069.238,40
Success,,,0,XAUUSD,12/01/2015,3:10:00 PM,12/01/2015,3:15:00 PM,1070.03,1070.93,1069.44,1070.35,1070.166,40
Success,,,0,XAUUSD,12/01/2015,3:15:00 PM,12/01/2015,3:20:00 PM,1069.84,1071.03,1069.84,1070.35,1070.515,45
Success,,,0,XAUUSD,12/01/2015,3:20:00 PM,12/01/2015,3:25:00 PM,1070.53,1070.53,1068.79,1068.95,1069.654,45
Success,,,0,XAUUSD,12/01/2015,3:25:00 PM,12/01/2015,3:30:00 PM,1069.13,1069.43,1068.75,1068.75,1069.145,37
Success,,,0,XAUUSD,12/01/2015,3:30:00 PM,12/01/2015,3:35:00 PM,1069.21,1069.21,1068.06,1068.35,1068.684,37
Success,,,0,XAUUSD,12/01/2015,3:35:00 PM,12/01/2015,3:40:00 PM,1067.98,1068.83,1067.39,1068.15,1068.335,42
Success,,,0,XAUUSD,12/01/2015,3:40:00 PM,12/01/2015,3:45:00 PM,1068,1068.53,1066.66,1067,1067.462,46
Success,,,0,XAUUSD,12/01/2015,3:45:00 PM,12/01/2015,3:50:00 PM,1067.13,1067.63,1066.44,1067.15,1067.026,47
Success,,,0,XAUUSD,12/01/2015,3:50:00 PM,12/01/2015,3:55:00 PM,1067.3,1067.53,1066.31,1066.65,1066.948,43
Success,,,0,XAUUSD,12/01/2015,3:55:00 PM,12/01/2015,4:00:00 PM,1066.73,1067.33,1066.24,1066.75,1066.806,43
Success,,,0,XAUUSD,12/01/2015,4:00:00 PM,12/01/2015,4:05:00 PM,1067.03,1067.43,1066.15,1067.05,1066.791,42
Success,,,0,XAUUSD,12/01/2015,4:05:00 PM,12/01/2015,4:10:00 PM,1067.33,1067.53,1066.35,1067.4,1067.062,41
Success,,,0,XAUUSD,12/01/2015,4:10:00 PM,12/01/2015,4:15:00 PM,1067.53,1067.53,1066.4,1066.75,1066.994,40
